CartLineID,UserID,PosterID,Quantity,AddedAt
1,137,5000,1,2025-01-15
2,112,5077,3,2025-01-18
3,172,5006,2,2025-01-08
4,109,5052,4,2025-01-04
5,175,5085,1,2025-01-18
6,105,5070,1,2025-01-29
7,179,5002,3,2025-01-23
8,164,5076,2,2025-01-07
9,116,5091,4,2025-01-10
10,101,5021,1,2025-01-11
11,176,5075,3,2025-01-14
12,171,5007,3,2025-01-07
13,106,5077,3,2025-01-26
14,125,5072,1,2025-01-07
15,150,5075,2,2025-01-17
16,120,5076,4,2025-01-17
17,118,5043,4,2025-01-19
18,184,5020,4,2025-01-13
19,111,5030,2,2025-01-10
20,128,5036,2,2025-01-23
21,129,5007,2,2025-01-01
22,114,5045,3,2025-01-23
23,150,5068,1,2025-01-24
24,168,5057,4,2025-01-17
25,187,5082,1,2025-01-20
26,187,5096,3,2025-01-10
27,194,5013,1,2025-01-17
28,196,5010,2,2025-01-29
29,186,5023,1,2025-01-20
30,113,5081,4,2025-01-16
31,109,5007,3,2025-01-11
32,107,5024,4,2025-01-28
33,163,5074,1,2025-01-05
34,161,5092,3,2025-01-24
35,122,5020,3,2025-01-15
36,157,5032,1,2025-01-22
37,101,5012,2,2025-01-15
38,100,5065,4,2025-01-29
39,160,5094,1,2025-01-04
40,181,5060,1,2025-01-25
41,108,5024,1,2025-01-25
42,188,5082,2,2025-01-17
43,113,5097,3,2025-01-15
44,147,5002,4,2025-01-23
45,172,5092,2,2025-01-16
46,130,5098,1,2025-01-08
47,171,5010,1,2025-01-29
48,103,5054,4,2025-01-15
49,170,5096,1,2025-01-14
50,121,5082,2,2025-01-16
51,149,5086,3,2025-01-26
52,157,5070,1,2025-01-22
53,103,5066,1,2025-01-21
54,168,5071,4,2025-01-26
55,124,5048,3,2025-01-27
56,143,5054,4,2025-01-22
57,176,5015,3,2025-01-19
58,126,5005,4,2025-01-15
59,152,5017,4,2025-01-30
60,180,5042,4,2025-01-13
61,141,5020,3,2025-01-06
62,182,5048,4,2025-01-23
63,115,5022,3,2025-01-28
64,164,5013,4,2025-01-23
65,168,5097,4,2025-01-13
66,125,5053,2,2025-01-13
67,198,5084,4,2025-01-25
68,187,5010,3,2025-01-28
69,107,5096,1,2025-01-27
70,126,5055,4,2025-01-13
71,125,5061,3,2025-01-08
72,122,5056,1,2025-01-24
73,109,5089,1,2025-01-08
74,167,5021,1,2025-01-30
75,123,5096,4,2025-01-12
76,127,5083,4,2025-01-13
77,137,5025,1,2025-01-19
78,157,5014,4,2025-01-07
79,183,5013,2,2025-01-28
80,138,5084,3,2025-01-17
81,108,5043,3,2025-01-30
82,132,5006,4,2025-01-06
83,134,5077,4,2025-01-03
84,110,5056,2,2025-01-02
85,123,5059,4,2025-01-12
86,115,5015,4,2025-01-27
87,187,5024,2,2025-01-25
88,125,5009,4,2025-01-06
89,171,5066,1,2025-01-10
90,192,5071,3,2025-01-21
91,174,5053,3,2025-01-26
92,162,5069,3,2025-01-28
93,146,5036,1,2025-01-12
94,132,5021,3,2025-01-02
95,188,5040,3,2025-01-19
96,123,5077,2,2025-01-01
97,155,5091,1,2025-01-27
98,165,5049,1,2025-01-21
99,177,5047,1,2025-01-08
100,103,5077,1,2025-01-01
